职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接,市,关键字,最低工资,最高工资
数据开发,1.1万-1.7万,滨江,3-5年,本科,Java、MySQL、Redis、DATAWORKS、阿里云大数据,山东华科信息技术有限公司,http://jobs.zhaopin.com/CC293762780J40483717802.htm?refcode=4019&srccode=401901&preactionid=460fa513-2cf5-426a-b91f-c5e505e5539b,杭州,数据挖掘,11000.0,17000.0
高级数据分析师（工作地宁波）,2万-3万,上城,3-5年,本科,Python、机器学习,中科聚信信息技术(北京)有限公司,http://jobs.zhaopin.com/CC687951720J40591822215.htm?refcode=4019&srccode=401901&preactionid=460fa513-2cf5-426a-b91f-c5e505e5539b,杭州,数据挖掘,20000.0,30000.0
gis数据处理工程师,7千-8千,西湖,3-5年,本科,,浙江聚禾空间规划科技有限公司,http://jobs.zhaopin.com/CC454863380J40159673415.htm?refcode=4019&srccode=401901&preactionid=460fa513-2cf5-426a-b91f-c5e505e5539b,杭州,数据挖掘,7000.0,8000.0
数据治理主管 (MJ001860),1.1万-1.7万,钱塘,5-10年,本科,数据治理,三花控股,http://jobs.zhaopin.com/CC141761210J40484715601.htm?refcode=4019&srccode=401901&preactionid=460fa513-2cf5-426a-b91f-c5e505e5539b,杭州,数据挖掘,11000.0,17000.0
高级算法工程师(搜索推荐方向),面议,滨江,3-5年,本科,推荐算法,吉利控股集团,http://jobs.zhaopin.com/CC000616940J40514077208.htm?refcode=4019&srccode=401901&preactionid=460fa513-2cf5-426a-b91f-c5e505e5539b,杭州,数据挖掘,12919.836258254378,20824.214667671546
高级算法工程师-搜索算法/推荐算法/营销算法/用增算法等,2.5万-5万 · 16薪,余杭,1-3年,硕士,QUERY、搜索算法,四川达麦企业管理有限公司,http://jobs.zhaopin.com/CCL1239944790J40501305908.htm?refcode=4019&srccode=401901&preactionid=460fa513-2cf5-426a-b91f-c5e505e5539b,杭州,数据挖掘,33333.333333333336,66666.66666666667
gis前端开发工程师（杭州）,1.6万-1.8万,西湖,3-5年,本科,三维GIS开发、移动GIS开发、WebGIS开发、GeoServer、Oracle、Redis、react、移动端、WED前端,上海正诺信息科技有限公司,http://jobs.zhaopin.com/CC682919930J40531728307.htm?refcode=4019&srccode=401901&preactionid=460fa513-2cf5-426a-b91f-c5e505e5539b,杭州,数据挖掘,16000.0,18000.0
搜索算法工程师,2.5万-5万,上城,3-5年,硕士,C++、Java、Python、深度学习算法、自然语言处理、广告算法,四川达麦企业管理有限公司,http://jobs.zhaopin.com/CCL1239944790J40501314208.htm?refcode=4019&srccode=401901&preactionid=460fa513-2cf5-426a-b91f-c5e505e5539b,杭州,数据挖掘,25000.0,50000.0
水声信号处理算法工程师（博士专岗）,2.3万-3万,西湖,3-5年,博士,,中国船舶集团有限公司第七一五研究所,http://jobs.zhaopin.com/CC165194910J40498369010.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd,杭州,算法,23000.0,30000.0
语言大模型算法工程师,2万-4万 · 13薪,余杭,经验不限,本科,PyTorch、大模型、NLP,深度好奇,http://jobs.zhaopin.com/CC753198770J40529768114.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd,杭州,算法,21666.666666666668,43333.333333333336
图像算法工程师,1.5万-2.4万 · 15薪,余杭,经验不限,本科,视觉图像算法、图像处理、OpenCV、C++、C#、图像增强、图像分类、智能制造,芜湖英视迈智能科技有限公司,http://jobs.zhaopin.com/CCL1333737970J40400419509.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd,杭州,算法,18750.0,30000.0
ai算法工程师,2万-3万,余杭,经验不限,本科,TensorFlow、自然语言处理、NLP、Transformer,诚迈科技,http://jobs.zhaopin.com/CC144543200J40515872115.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd,杭州,算法,20000.0,30000.0
大语言模型算法工程师,1.8万-3.5万,滨江,经验不限,本科,文本分析、信息抽取、PyTorch、TensorFlow、Attention、Q-learning、机器阅读理解、聊天机器人、自动问答、Python、C++,浙江天垂科技有限公司,http://jobs.zhaopin.com/CC466235480J40492375711.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd,杭州,算法,18000.0,35000.0
NLP算法工程师[大模型],2万-4万 · 15薪,滨江,1-3年,硕士,PyTorch、大模型、深度学习、机器学习,安恒信息,http://jobs.zhaopin.com/CC209879310J40533413107.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd,杭州,算法,25000.0,50000.0
算法工程师,1万-2万,西湖,1-3年,本科,密码算法,杭州可腾微科技有限公司,http://jobs.zhaopin.com/CCL1265639580J40321523907.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd,杭州,算法,10000.0,20000.0
大语言模型算法工程师,1.8万-3.5万,滨江,经验不限,硕士,大语言模型,浙江天垂科技有限公司,http://jobs.zhaopin.com/CC466235480J40492879811.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd,杭州,算法,18000.0,35000.0
算法工程师,1.5万-2.5万,萧山,1-3年,硕士,PyTorch、Theano、PaddlePaddle,江苏瞭望神州大数据科技有限公司,http://jobs.zhaopin.com/CCL1266628910J40465431704.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd,杭州,算法,15000.0,25000.0
人工智能算法工程师,1.2万-2.4万 · 14薪,滨江,1-3年,硕士,人脸识别、目标跟踪、图像处理、深度学习、人脸检测,爱谱华顿,http://jobs.zhaopin.com/CC131100140J40202847712.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd,杭州,算法,14000.0,28000.0
数据分析师（算法研究方向）,8千-1.2万元/月,钱塘,经验不限,本科,Python、R语言、MATLAB、机器学习、深度学习,杭州拓端数据科技有限公司,http://jobs.zhaopin.com/CC428769630J40503200401.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd,杭州,算法,8000.0,12000.0
图像算法工程师,1.8万-3.5万,余杭,经验不限,本科,图像处理、深度学习、识别算法、图像算法,浙江天衡五维电子科技有限公司,http://jobs.zhaopin.com/CC308542782J90250008000.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd,杭州,算法,18000.0,35000.0
3A算法工程师,1.5万-3万 · 14薪,滨江,1-3年,硕士,图像增强、C++、图像识别,爱谱华顿,http://jobs.zhaopin.com/CC131100140J40202848812.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd,杭州,算法,17500.0,35000.0
图像算法工程师,1.2万-1.9万 · 13薪,钱塘,1-3年,本科,TensorFlow、Caffe、MXNet、PaddlePaddle、C++、Python、PyTorch,浙江芥衡仪器有限公司,http://jobs.zhaopin.com/CCL1460273170J40413282801.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd,杭州,算法,13000.0,20583.333333333332
卫星影像处理工程师,6千-1万,萧山,经验不限,本科,卫星影像处理、GIS,浙江二十一世纪空间技术应用有限公司,http://jobs.zhaopin.com/CC542696630J40518332208.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd,杭州,算法,6000.0,10000.0
点云算法工程师,2万-4万,余杭,3-5年,硕士,,重庆森聚人力资源管理有限公司,http://jobs.zhaopin.com/CC716604930J40526086812.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd,杭州,算法,20000.0,40000.0
算法工程师（AI 大数据 图像 智能车）,2万-4万 · 16薪,滨江,经验不限,本科,,外企德科,http://jobs.zhaopin.com/CC138117190J40499946805.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd,杭州,算法,26666.666666666668,53333.333333333336
nlp算法工程师,1.6万-2.2万,余杭,经验不限,大专,BERT、Python、LLM,深圳市法本信息技术股份有限公司,http://jobs.zhaopin.com/CC385622410J40495156506.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd,杭州,算法,16000.0,22000.0
算法工程师,1.2万-2万 · 14薪,余杭,3-5年,本科,,上海亿保健康管理有限公司,http://jobs.zhaopin.com/CC614586420J40472460610.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd,杭州,算法,14000.0,23333.333333333336
图像算法工程师,1.5万-2万 · 14薪,滨江,经验不限,硕士,三维图像重建、识别算法、医学影像、设计与仿真,深圳海思安生物技术有限公司,http://jobs.zhaopin.com/CC842705430J40536262801.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd,杭州,算法,17500.0,23333.333333333336
AI算法（熟悉建设与内容生产）+12-13K,面议,余杭,1-3年,本科,CHATGPT、AI算法训练、数据采集、数据标注、数据集、点状数据、文生图、图生图、AI智能,中国平安,http://jobs.zhaopin.com/CC000204810J40554032512.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd,杭州,算法,12919.836258254378,20824.214667671546
视觉算法工程师（J10001）,1.8万-3万 · 14薪,滨江,经验不限,硕士,,易思维,http://jobs.zhaopin.com/CC622090030J40461863510.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd,杭州,算法,21000.0,35000.0
算法工程师（机器视觉）,1.5万-3万 · 14薪,滨江,经验不限,硕士,视觉图像算法,浙江华睿科技股份有限公司,http://jobs.zhaopin.com/CCL1350705680J40509427401.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd,杭州,算法,17500.0,35000.0
生物医学图像算法工程师,1.8万-3万 · 13薪,萧山,经验不限,硕士,,光原科技(深圳)有限公司,http://jobs.zhaopin.com/CC863117420J40379188313.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd,杭州,算法,19500.0,32500.0
多模态大模型算法工程师,3万-6万,杭州,3-5年,本科,,字节跳动,http://jobs.zhaopin.com/CC469217510J40507738101.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd,杭州,算法,30000.0,60000.0
自动驾驶感知算法工程师,1.4万-2.5万,滨江,1-3年,硕士,,北京航空航天大学杭州创新研究院,http://jobs.zhaopin.com/CC812993830J40538517201.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd,杭州,算法,14000.0,25000.0
软件工程师,1万-2万 · 14薪,杭州,经验不限,本科,C++、QT、算法,杭州谛瞳科技有限公司,http://jobs.zhaopin.com/CC484334480J40285771914.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd,杭州,算法,11666.666666666668,23333.333333333336
nlp算法工程师,2万-3万,余杭,经验不限,本科,Python,软通动力信息技术(集团)股份有限公司,http://jobs.zhaopin.com/CC000544460J40494704416.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd,杭州,算法,20000.0,30000.0
智慧能源工程师（智能算法开发/测试/运维/UI）,1万-2万,拱墅,经验不限,硕士,Java、Python,杭州汽轮新能源有限公司,http://jobs.zhaopin.com/CC447140110J40447561504.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd,杭州,算法,10000.0,20000.0
图像算法工程师,面议,滨江,1-3年,本科,图像处理、图像增强、PyTorch、C/C++、Python、CNN、车牌识别、OpenCV,华为技术有限公司,http://jobs.zhaopin.com/CC000542940J40424397214.htm?refcode=4019&srccode=401901&preactionid=66ebf9b1-df03-4cad-ac97-0d8044309ddd,杭州,算法,12919.836258254378,20824.214667671546
NLP算法工程师（不加班不倦）,2.5万-5万 · 15薪,西湖,经验不限,本科,文本挖掘、语义分析、文本分类、机器阅读理解、机器翻译、自动问答、智能客服、聊天机器人、知识图谱、TensorFlow、PyTorch,上海猎猫猫企业管理有限公司,http://jobs.zhaopin.com/CC831008540J40486474716.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae,杭州,算法,31250.000000000004,62500.00000000001
机器视觉软件算法工程师,1.5万-2.5万 · 13薪,萧山,1-3年,本科,图像检测识别、OpenCV、C/C++、工业视觉检测、缺陷检测,杭州科百特过滤器材有限公司,http://jobs.zhaopin.com/CC143272750J40492037608.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae,杭州,算法,16250.0,27083.333333333336
雷达算法博士后,2.3万-2.7万 · 16薪,滨江,经验不限,博士,,北京航空航天大学杭州创新研究院,http://jobs.zhaopin.com/CC812993830J40538528001.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae,杭州,算法,30666.666666666668,36000.0
图像算法工程师,1.5万-2.2万,滨江,经验不限,硕士,,深圳海思安生物技术有限公司,http://jobs.zhaopin.com/CC842705430J40536265501.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae,杭州,算法,15000.0,22000.0
（杭州研发中心）图像算法工程师,1.5万-2.5万 · 14薪,杭州,1-3年,本科,C#、嵌入式、MySQL数据库、深度学习,厦门亿联网络技术股份有限公司,http://jobs.zhaopin.com/CC144503487J00150372505.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae,杭州,算法,17500.0,29166.666666666668
计算机视觉算法工程师（费铮豪PI）-生物微纳感知创新工坊,8千-1.5万,萧山,经验不限,硕士,视觉图像算法、运动控制算法,浙江大学杭州国际科创中心,http://jobs.zhaopin.com/CCL1242292110J40446372704.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae,杭州,算法,8000.0,15000.0
算法工程师,1.5万-3万,余杭,3-5年,大专,PyTorch,北京霍因科技有限公司,http://jobs.zhaopin.com/CC608050080J40496061402.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae,杭州,算法,15000.0,30000.0
（杭州研发中心）视频编解码工程师,1.5万-2.5万 · 14薪,西湖,经验不限,本科,算法、CODEC、H.264/H.263/VP8、CODEC相关,厦门亿联网络技术股份有限公司,http://jobs.zhaopin.com/CC144503487J90250363000.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae,杭州,算法,17500.0,29166.666666666668
算法工程师,1.5万-2万,滨江,1-3年,本科,,万宝盛华企业管理咨询(上海)有限公司大连分公司,http://jobs.zhaopin.com/CC880319660J40594941315.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae,杭州,算法,15000.0,20000.0
深度学习算法工程师,1万-2万,余杭,经验不限,本科,,睿魔智能科技(深圳)有限公司,http://jobs.zhaopin.com/CC808131320J40505944103.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae,杭州,算法,10000.0,20000.0
大数据算法工程师,1.6万-2.4万 · 14薪,余杭,3-5年,本科,深度学习,威星智能,http://jobs.zhaopin.com/CC198524320J40545735212.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae,杭州,算法,18666.666666666664,28000.0
3D成像算法工程师,2万-4万,余杭,3-5年,硕士,,重庆森聚人力资源管理有限公司,http://jobs.zhaopin.com/CC716604930J40526088312.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae,杭州,算法,20000.0,40000.0
图像处理算法工程师,200-250/天,杭州,经验不限,本科,视觉检测、TensorFlow、Caffe、图像算法,杭州谛瞳科技有限公司,http://jobs.zhaopin.com/CC484334480J40285777914.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae,杭州,算法,4350.0,5437.5
数据挖掘算法工程师,2万-4万 · 16薪,余杭,经验不限,硕士,Python、机器学习、深度学习、数据挖掘、Java、Hive,成都韬普讯企业管理服务有限公司,http://jobs.zhaopin.com/CCL1282387760J40498424003.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae,杭州,算法,26666.666666666668,53333.333333333336
大模型算法实习工程师,250-400/天,余杭,经验不限,硕士,PyTorch、大模型、NLP,深度好奇,http://jobs.zhaopin.com/CC753198770J40529767514.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae,杭州,算法,5437.5,8700.0
BH050202雷达目标识别博士后,2.3万-2.8万 · 16薪,滨江,经验不限,博士,模式识别、C语言、MATLAB、目标识别,北京航空航天大学杭州创新研究院,http://jobs.zhaopin.com/CC812993830J40405588801.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae,杭州,算法,30666.666666666668,37333.333333333336
PHM算法工程师,1.5万-2.5万元/月,余杭,5-10年,本科,,浙江东华信息控制技术有限公司,http://jobs.zhaopin.com/CC146118590J40496708406.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae,杭州,算法,15000.0,25000.0
AI算法工程师,2.5万-4万 · 15薪,临平,经验不限,博士,,晨伫(杭州)生物科技有限责任公司,http://jobs.zhaopin.com/CCL1412972130J40400026012.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae,杭州,算法,31250.000000000004,50000.0
软开/软测/Ai技术开发/Ai算法工程师,1.8万-3.5万 · 14薪,滨江,经验不限,本科,Python、C++、Java,外企德科,http://jobs.zhaopin.com/CC138117190J40503850605.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae,杭州,算法,21000.0,40833.33333333333
图像算法开发工程师（模型量化方向）,2.5万-3.5万 · 14薪,余杭,3-5年,本科,视觉图像算法、视频算法、PyTorch、TensorFlow、CNN、OpenCV,北京知存科技有限公司,http://jobs.zhaopin.com/CC581607530J40387437007.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae,杭州,算法,29166.666666666668,40833.33333333333
图像算法工程师（工作地点：浙江嘉兴）,2.2万-4万 · 15薪,滨江,3-5年,硕士,Python、图像处理、图像检测识别、人脸识别产品、视觉图像算法、自动驾驶,嘉兴真与科技有限责任公司,http://jobs.zhaopin.com/CCL1388980520J40483481104.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae,杭州,算法,27500.0,50000.0
开发，测试，算法,1.5万-3万 · 15薪,滨江,经验不限,本科,后端开发、前端开发,外企德科,http://jobs.zhaopin.com/CC138117190J40476376605.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae,杭州,算法,18750.0,37500.0
自动驾驶决策规划算法工程师,1.4万-2.5万,滨江,1-3年,硕士,,北京航空航天大学杭州创新研究院,http://jobs.zhaopin.com/CC812993830J40538520201.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae,杭州,算法,14000.0,25000.0
CV算法工程师,2万-4万 · 16薪,余杭,经验不限,本科,AIGC、机器学习、视觉算法、深度学习,成都韬普讯企业管理服务有限公司,http://jobs.zhaopin.com/CCL1282387760J40496909203.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae,杭州,算法,26666.666666666668,53333.333333333336
视觉AI算法工程师,3万-5万,滨江,5-10年,本科,C语言、C++、Python、智慧交通、MATLAB,上海坤匙科技集团有限公司,http://jobs.zhaopin.com/CCL1311187700J40508406103.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae,杭州,算法,30000.0,50000.0
LLM算法工程师,2.5万-4万,滨江,3-5年,硕士,LLM算法、模型,浙江连信科技有限公司,http://jobs.zhaopin.com/CC817345790J40520624501.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae,杭州,算法,25000.0,40000.0
AI算法工程师（Python，2024届）,8千-1.6万 · 15薪,临安,经验不限,本科,Python,浙江众合科技股份有限公司,http://jobs.zhaopin.com/CC264575280J40587575215.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae,杭州,算法,10000.0,20000.0
图像算法工程师,2万-4万 · 14薪,余杭,3-5年,本科,视频算法、C++、深度学习算法,北京知存科技有限公司,http://jobs.zhaopin.com/CC581607530J40332437407.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae,杭州,算法,23333.333333333336,46666.66666666667
AIGC 算法工程师,3万-5万,拱墅,3-5年,硕士,视频算法、TensorFlow、PyTorch、MXNet、PaddlePaddle、智慧零售、Python、AIGC,池州原子人力资源服务有限公司,http://jobs.zhaopin.com/CCL1463119280J40594117815.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae,杭州,算法,30000.0,50000.0
CV算法专家,2万-3.5万,余杭,1-3年,本科,Java、C++、Python、推荐算法、TensorFlow、PyTorch,道一(天津)企业管理咨询有限公司青岛分公司,http://jobs.zhaopin.com/CCL1471056350J40485887716.htm?refcode=4019&srccode=401901&preactionid=84c348a2-5b57-47f4-a3b6-fe4b9b072dae,杭州,算法,20000.0,35000.0
研究院-大数据算法实习生,300-350/天,滨江,经验不限,硕士,Python、数据库、数据挖掘,杭州海康威视数字技术股份有限公司,http://jobs.zhaopin.com/CC120975580J40591720815.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65,杭州,算法,6525.0,7612.5
算法工程师（机器学习方向）,面议,滨江,5-10年,硕士,深度学习算法,吉利控股集团,http://jobs.zhaopin.com/CC000616940J40506686408.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65,杭州,算法,12919.836258254378,20824.214667671546
NLP算法工程师,3万-4万 · 14薪,临平,3-5年,硕士,文本分析、文本挖掘、实体识别、序列标注,山东伯睿英联企业管理咨询有限公司,http://jobs.zhaopin.com/CC401190180J40488721006.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65,杭州,算法,35000.0,46666.66666666667
isp图像算法工程师,2万-4万,余杭,经验不限,本科,C++、AF算法,杭州星犀科技有限公司,http://jobs.zhaopin.com/CC469689330J40502359409.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65,杭州,算法,20000.0,40000.0
算法工程师,1.5万-3万 · 14薪,滨江,经验不限,本科,视觉图像算法、自然语言处理、推荐算法、机器人算法、视频算法、搜索算法、语音算法、PyTorch、TensorFlow、Python,外企德科,http://jobs.zhaopin.com/CC138117190J40506310005.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65,杭州,算法,17500.0,35000.0
数据标注/Ai算法训练实习生,140-200/天,余杭,经验不限,大专,语音标注、音频标注,北京知存科技有限公司,http://jobs.zhaopin.com/CC581607530J40532332807.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65,杭州,算法,3045.0,4350.0
图像算法工程师,1.3万-2万,滨江,3-5年,本科,图像处理、图像增强、图像分割,浙江啄云智能科技有限公司,http://jobs.zhaopin.com/CC846310970J40128194406.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65,杭州,算法,13000.0,20000.0
机器人算法工程师,1.5万-2.4万 · 15薪,余杭,经验不限,本科,C#、C/C++、视觉图像算法、运动控制算法,芜湖英视迈智能科技有限公司,http://jobs.zhaopin.com/CCL1333737970J40400454109.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65,杭州,算法,18750.0,30000.0
算法工程师,1.9万-2.2万,余杭,1-3年,本科,Python,深圳市法本信息技术股份有限公司,http://jobs.zhaopin.com/CC385622410J40496224506.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65,杭州,算法,19000.0,22000.0
AI算法工程师,2.5万-3万,余杭,3-5年,本科,舆情分析、文本分析、舆情监控,南京瑞仕登人力资源有限公司,http://jobs.zhaopin.com/CC466047480J40592870215.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65,杭州,算法,25000.0,30000.0
算法工程师,1.5万-3万,滨江,1-3年,本科,视觉图像算法,河南爱收入科技有限公司杭州分公司,http://jobs.zhaopin.com/CCL1472368380J40476963916.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65,杭州,算法,15000.0,30000.0
遥感算法工程师,1.2万-2万,杭州,3-5年,本科,Python、图像识别、GIS、深度学习,杭州零重空间技术有限公司,http://jobs.zhaopin.com/CC816555490J00257167806.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65,杭州,算法,12000.0,20000.0
nlp算法工程师,2万-4万 · 16薪,余杭,经验不限,本科,深度学习、自然语言处理、NLP、多模态,成都韬普讯企业管理服务有限公司,http://jobs.zhaopin.com/CCL1282387760J40498425503.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65,杭州,算法,26666.666666666668,53333.333333333336
QT/C++开发工程师,6千-1.2万,萧山,1-3年,本科,QT、C++、C、算法、架构设计,杭州德迪智能科技有限公司,http://jobs.zhaopin.com/CC287096630J40263234608.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65,杭州,算法,6000.0,12000.0
算法工程师,2.5万-4万 · 13薪,余杭,5-10年,本科,实体识别、文本分类、信息抽取、LSTM、RNN、Attention、BERT、word2vec、机器阅读理解、聊天机器人、CRF,北京霍因科技有限公司,http://jobs.zhaopin.com/CC608050080J40491097002.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65,杭州,算法,27083.333333333336,43333.333333333336
大模型算法工程师,3万-4.5万 · 16薪,余杭,3-5年,硕士,Python、Java、机器学习、深度学习、统计分析、Hive、Hadoop,大连优利莱信息技术有限公司,http://jobs.zhaopin.com/CC630289130J40530224201.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65,杭州,算法,40000.0,60000.0
数字设计工程师(AI),3万-6万 · 14薪,余杭,3-5年,硕士,C语言、C++、AI芯片、数字芯片设计、Python、Perl,北京知存科技有限公司,http://jobs.zhaopin.com/CC581607530J40514920807.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65,杭州,算法,35000.0,70000.0
算法工程师（AI制药/计算化学方向）,1.8万-3万 · 13薪,杭州,经验不限,硕士,分子生成、算法,杭州瑞普基因科技有限公司,http://jobs.zhaopin.com/CC313415180J40484471307.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65,杭州,算法,19500.0,32500.0
图像算法（央企研究院）,2.7万-4万 · 17薪,西湖,5-10年,硕士,视觉图像算法,杭州嘉才企业管理咨询有限公司,http://jobs.zhaopin.com/CC415907010J40507614203.htm?refcode=4019&srccode=401901&preactionid=08ec36c1-a649-43da-9d47-26e1b89dbd65,杭州,算法,38250.0,56666.66666666667
